
--forwards
95-300.xml : 58.11 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
52-1.xml : 8.92 seconds : {'success': 78, 'fail': 0, 'preexisting': 0}
95-314.xml : 56.30 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
22-8.xml : 57.43 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
17-1.xml : 2.20 seconds : {'success': 0, 'fail': 0, 'preexisting': 81}
94-7.xml : 58.18 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-328.xml : 57.80 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
94-6.xml : 65.32 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-329.xml : 60.34 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
22-9.xml : 13.23 seconds : {'success': 0, 'fail': 0, 'preexisting': 500}
95-315.xml : 59.61 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-301.xml : 61.83 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-41.xml : 63.85 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-55.xml : 66.29 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
95-117.xml : 63.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-102.xml : 65.52 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-69.xml : 66.51 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
76-1.xml : 0.14 seconds : {'success': 1, 'fail': 0, 'preexisting': 0}
95-103.xml : 66.97 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
33-1.xml : 1.45 seconds : {'success': 0, 'fail': 0, 'preexisting': 56}
71-82.xml : 65.77 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
71-96.xml : 68.39 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
94-32.xml : 66.30 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
94-26.xml : 66.97 seconds : {'success': 500, 'fail': 0, 'preexisting': 0}
56-4.xml : 56.60 seconds : {'success': 437, 'fail': 2, 'preexisting': 61}
